group,attack,victim,candidate_count,permutation,target_position,setup_time_ms,attack_time_ms,requests_sent,biometric_evaluations,blocked_requests,target_identified,false_accept,signature_issued,attempts_per_second
G0,candidate_scan,Adrien_Brody,50,3,17,0.06000000,0.23000000,50,50,0,1,0,0,215534.64000000
G1,candidate_scan,Adrien_Brody,50,3,17,1.78000000,70.62000000,18,18,0,1,0,1,254.88000000
G2,candidate_scan,Adrien_Brody,50,3,17,149.26000000,178.40000000,18,18,0,1,0,1,100.90000000
G3,candidate_scan,Adrien_Brody,50,3,17,143.91000000,14.95000000,4,3,1,0,0,0,267.53000000
G0,candidate_scan,Adrien_Brody,50,4,4,0.06000000,0.25000000,50,50,0,1,0,0,199159.73000000
G1,candidate_scan,Adrien_Brody,50,4,4,1.78000000,19.16000000,5,5,0,1,0,1,260.99000000
G2,candidate_scan,Adrien_Brody,50,4,4,142.05000000,123.41000000,5,5,0,1,0,1,40.51000000
G3,candidate_scan,Adrien_Brody,50,4,4,144.47000000,14.62000000,4,3,1,0,0,0,273.67000000
G0,candidate_scan,Adrien_Brody,100,0,9,0.06000000,0.48000000,100,100,0,1,0,0,207638.81000000
G1,candidate_scan,Adrien_Brody,100,0,9,1.77000000,38.94000000,10,10,0,1,0,1,256.81000000
G2,candidate_scan,Adrien_Brody,100,0,9,142.24000000,144.41000000,10,10,0,1,0,1,69.25000000
G3,candidate_scan,Adrien_Brody,100,0,9,145.96000000,14.61000000,4,3,1,0,0,0,273.73000000
G0,candidate_scan,Adrien_Brody,100,1,43,0.06000000,0.42000000,100,100,0,1,0,0,235502.75000000
G1,candidate_scan,Adrien_Brody,100,1,43,1.78000000,173.36000000,44,44,0,1,0,1,253.81000000
G2,candidate_scan,Adrien_Brody,100,1,43,140.44000000,284.45000000,44,44,0,1,0,1,154.69000000
G3,candidate_scan,Adrien_Brody,100,1,43,145.21000000,14.04000000,4,3,1,0,0,0,284.91000000
G0,candidate_scan,Adrien_Brody,100,2,52,0.07000000,0.45000000,100,100,0,1,0,0,222038.33000000
G1,candidate_scan,Adrien_Brody,100,2,52,1.77000000,207.11000000,53,53,0,1,0,1,255.90000000
G2,candidate_scan,Adrien_Brody,100,2,52,144.75000000,327.25000000,53,53,0,1,0,1,161.96000000
G3,candidate_scan,Adrien_Brody,100,2,52,144.92000000,14.65000000,4,3,1,0,0,0,273.04000000
G0,candidate_scan,Adrien_Brody,100,3,89,0.06000000,0.43000000,100,100,0,1,0,0,233665.96000000
G1,candidate_scan,Adrien_Brody,100,3,89,1.78000000,354.31000000,90,90,0,1,0,1,254.02000000
G2,candidate_scan,Adrien_Brody,100,3,89,144.54000000,490.38000000,90,90,0,1,0,1,183.53000000
G3,candidate_scan,Adrien_Brody,100,3,89,146.32000000,14.95000000,4,3,1,0,0,0,267.52000000
G0,candidate_scan,Adrien_Brody,100,4,38,0.06000000,0.42000000,100,100,0,1,0,0,235635.06000000
G1,candidate_scan,Adrien_Brody,100,4,38,1.74000000,154.70000000,39,39,0,1,0,1,252.10000000
G2,candidate_scan,Adrien_Brody,100,4,38,146.35000000,270.76000000,39,39,0,1,0,1,144.04000000
G3,candidate_scan,Adrien_Brody,100,4,38,146.30000000,14.53000000,4,3,1,0,0,0,275.21000000
G0,candidate_scan,Al_Gore,10,0,3,0.06000000,0.07000000,10,10,0,1,0,0,144631.17000000
G1,candidate_scan,Al_Gore,10,0,3,1.76000000,15.31000000,4,4,0,1,0,1,261.20000000
G2,candidate_scan,Al_Gore,10,0,3,146.93000000,118.07000000,4,4,0,1,0,1,33.88000000
G3,candidate_scan,Al_Gore,10,0,3,142.07000000,14.75000000,4,3,1,0,0,0,271.18000000
G0,candidate_scan,Al_Gore,10,1,0,0.06000000,0.07000000,10,10,0,1,0,0,148208.62000000
G1,candidate_scan,Al_Gore,10,1,0,1.79000000,3.48000000,1,1,0,1,0,1,287.52000000
G2,candidate_scan,Al_Gore,10,1,0,147.20000000,105.08000000,1,1,0,1,0,1,9.52000000
G3,candidate_scan,Al_Gore,10,1,0,142.89000000,106.96000000,1,1,0,1,0,1,9.35000000
G0,candidate_scan,Al_Gore,10,2,4,0.07000000,0.07000000,10,10,0,1,0,0,148734.18000000
G1,candidate_scan,Al_Gore,10,2,4,1.83000000,19.39000000,5,5,0,1,0,1,257.91000000
G2,candidate_scan,Al_Gore,10,2,4,148.20000000,122.09000000,5,5,0,1,0,1,40.95000000
G3,candidate_scan,Al_Gore,10,2,4,144.40000000,14.61000000,4,3,1,0,0,0,273.81000000
G0,candidate_scan,Al_Gore,10,3,7,0.06000000,0.07000000,10,10,0,1,0,0,137518.16000000
G1,candidate_scan,Al_Gore,10,3,7,1.84000000,31.76000000,8,8,0,1,0,1,251.92000000
G2,candidate_scan,Al_Gore,10,3,7,156.11000000,134.63000000,8,8,0,1,0,1,59.42000000
G3,candidate_scan,Al_Gore,10,3,7,144.84000000,14.74000000,4,3,1,0,0,0,271.32000000
G0,candidate_scan,Al_Gore,10,4,2,0.06000000,0.07000000,10,10,0,1,0,0,144134.16000000
G1,candidate_scan,Al_Gore,10,4,2,1.81000000,11.43000000,3,3,0,1,0,1,262.38000000
G2,candidate_scan,Al_Gore,10,4,2,144.25000000,112.99000000,3,3,0,1,0,1,26.55000000
G3,candidate_scan,Al_Gore,10,4,2,149.88000000,112.80000000,3,3,0,1,0,1,26.60000000
G0,candidate_scan,Al_Gore,50,0,36,0.06000000,0.24000000,50,50,0,1,0,0,206209.64000000
G1,candidate_scan,Al_Gore,50,0,36,1.80000000,144.92000000,37,37,0,1,0,1,255.31000000
G2,candidate_scan,Al_Gore,50,0,36,142.10000000,258.91000000,37,37,0,1,0,1,142.91000000
G3,candidate_scan,Al_Gore,50,0,36,142.41000000,14.77000000,4,3,1,0,0,0,270.74000000
G0,candidate_scan,Al_Gore,50,1,46,0.06000000,0.22000000,50,50,0,1,0,0,224775.13000000
G1,candidate_scan,Al_Gore,50,1,46,1.75000000,184.12000000,47,47,0,1,0,1,255.27000000
G2,candidate_scan,Al_Gore,50,1,46,144.60000000,301.41000000,47,47,0,1,0,1,155.93000000
G3,candidate_scan,Al_Gore,50,1,46,150.49000000,14.52000000,4,3,1,0,0,0,275.41000000
G0,candidate_scan,Al_Gore,50,2,12,0.06000000,0.22000000,50,50,0,1,0,0,223815.58000000
G1,candidate_scan,Al_Gore,50,2,12,1.60000000,49.79000000,13,13,0,1,0,1,261.08000000
G2,candidate_scan,Al_Gore,50,2,12,147.25000000,157.36000000,13,13,0,1,0,1,82.61000000
G3,candidate_scan,Al_Gore,50,2,12,146.62000000,14.87000000,4,3,1,0,0,0,268.94000000
G0,candidate_scan,Al_Gore,50,3,31,0.09000000,0.23000000,50,50,0,1,0,0,218681.13000000
G1,candidate_scan,Al_Gore,50,3,31,1.75000000,125.18000000,32,32,0,1,0,1,255.64000000
G2,candidate_scan,Al_Gore,50,3,31,146.48000000,244.33000000,32,32,0,1,0,1,130.97000000
G3,candidate_scan,Al_Gore,50,3,31,142.43000000,14.62000000,4,3,1,0,0,0,273.56000000
G0,candidate_scan,Al_Gore,50,4,31,0.06000000,0.23000000,50,50,0,1,0,0,213559.27000000
G1,candidate_scan,Al_Gore,50,4,31,1.79000000,125.46000000,32,32,0,1,0,1,255.07000000
G2,candidate_scan,Al_Gore,50,4,31,147.51000000,237.96000000,32,32,0,1,0,1,134.48000000
G3,candidate_scan,Al_Gore,50,4,31,145.43000000,14.28000000,4,3,1,0,0,0,280.10000000
G0,candidate_scan,Al_Gore,100,0,58,0.07000000,0.48000000,100,100,0,1,0,0,207228.46000000
G1,candidate_scan,Al_Gore,100,0,58,1.81000000,232.93000000,59,59,0,1,0,1,253.29000000
G2,candidate_scan,Al_Gore,100,0,58,142.04000000,356.32000000,59,59,0,1,0,1,165.58000000
G3,candidate_scan,Al_Gore,100,0,58,146.61000000,13.80000000,4,3,1,0,0,0,289.78000000
G0,candidate_scan,Al_Gore,100,1,38,0.06000000,0.43000000,100,100,0,1,0,0,231091.13000000
G1,candidate_scan,Al_Gore,100,1,38,1.81000000,153.19000000,39,39,0,1,0,1,254.59000000
G2,candidate_scan,Al_Gore,100,1,38,146.49000000,267.09000000,39,39,0,1,0,1,146.02000000
G3,candidate_scan,Al_Gore,100,1,38,146.48000000,14.31000000,4,3,1,0,0,0,279.62000000
G0,candidate_scan,Al_Gore,100,2,26,0.06000000,0.43000000,100,100,0,1,0,0,233535.86000000
G1,candidate_scan,Al_Gore,100,2,26,1.83000000,105.56000000,27,27,0,1,0,1,255.77000000
G2,candidate_scan,Al_Gore,100,2,26,146.23000000,215.85000000,27,27,0,1,0,1,125.09000000
G3,candidate_scan,Al_Gore,100,2,26,148.34000000,14.45000000,4,3,1,0,0,0,276.73000000
G0,candidate_scan,Al_Gore,100,3,82,0.06000000,0.43000000,100,100,0,1,0,0,232629.17000000
G1,candidate_scan,Al_Gore,100,3,82,1.81000000,326.26000000,83,83,0,1,0,1,254.40000000
G2,candidate_scan,Al_Gore,100,3,82,147.82000000,457.07000000,83,83,0,1,0,1,181.59000000
G3,candidate_scan,Al_Gore,100,3,82,143.70000000,14.67000000,4,3,1,0,0,0,272.61000000
G0,candidate_scan,Al_Gore,100,4,35,0.06000000,0.43000000,100,100,0,1,0,0,230709.79000000
G1,candidate_scan,Al_Gore,100,4,35,1.81000000,140.82000000,36,36,0,1,0,1,255.65000000
G2,candidate_scan,Al_Gore,100,4,35,146.98000000,252.26000000,36,36,0,1,0,1,142.71000000
G3,candidate_scan,Al_Gore,100,4,35,144.02000000,14.94000000,4,3,1,0,0,0,267.71000000
G0,candidate_scan,Al_Sharpton,10,0,3,0.07000000,0.07000000,10,10,0,1,0,0,149796.57000000
G1,candidate_scan,Al_Sharpton,10,0,3,1.83000000,15.20000000,4,4,0,1,0,1,263.24000000
G2,candidate_scan,Al_Sharpton,10,0,3,147.77000000,117.92000000,4,4,0,1,0,1,33.92000000
G3,candidate_scan,Al_Sharpton,10,0,3,145.46000000,14.50000000,4,3,1,0,0,0,275.82000000
G0,candidate_scan,Al_Sharpton,10,1,9,0.05000000,0.06000000,10,10,0,1,0,0,156503.88000000
G1,candidate_scan,Al_Sharpton,10,1,9,1.74000000,38.98000000,10,10,0,1,0,1,256.52000000
G2,candidate_scan,Al_Sharpton,10,1,9,143.19000000,141.55000000,10,10,0,1,0,1,70.64000000
G3,candidate_scan,Al_Sharpton,10,1,9,144.60000000,14.69000000,4,3,1,0,0,0,272.35000000
G0,candidate_scan,Al_Sharpton,10,2,9,0.06000000,0.07000000,10,10,0,1,0,0,148208.62000000
G1,candidate_scan,Al_Sharpton,10,2,9,1.73000000,38.95000000,10,10,0,1,0,1,256.76000000
G2,candidate_scan,Al_Sharpton,10,2,9,144.94000000,145.18000000,10,10,0,1,0,1,68.88000000
G3,candidate_scan,Al_Sharpton,10,2,9,147.21000000,15.11000000,4,3,1,0,0,0,264.65000000
G0,candidate_scan,Al_Sharpton,10,3,4,0.06000000,0.07000000,10,10,0,1,0,0,138884.24000000
G1,candidate_scan,Al_Sharpton,10,3,4,1.76000000,19.18000000,5,5,0,1,0,1,260.71000000
G2,candidate_scan,Al_Sharpton,10,3,4,144.05000000,123.45000000,5,5,0,1,0,1,40.50000000
G3,candidate_scan,Al_Sharpton,10,3,4,147.20000000,14.48000000,4,3,1,0,0,0,276.25000000
G0,candidate_scan,Al_Sharpton,10,4,0,0.07000000,0.07000000,10,10,0,1,0,0,148734.18000000
G1,candidate_scan,Al_Sharpton,10,4,0,1.79000000,3.48000000,1,1,0,1,0,1,287.32000000
G2,candidate_scan,Al_Sharpton,10,4,0,146.73000000,105.72000000,1,1,0,1,0,1,9.46000000
G3,candidate_scan,Al_Sharpton,10,4,0,145.37000000,107.27000000,1,1,0,1,0,1,9.32000000
G0,candidate_scan,Al_Sharpton,50,0,35,0.07000000,0.23000000,50,50,0,1,0,0,220057.92000000
G1,candidate_scan,Al_Sharpton,50,0,35,1.77000000,141.77000000,36,36,0,1,0,1,253.93000000
G2,candidate_scan,Al_Sharpton,50,0,35,144.10000000,257.07000000,36,36,0,1,0,1,140.04000000
G3,candidate_scan,Al_Sharpton,50,0,35,144.99000000,14.85000000,4,3,1,0,0,0,269.37000000
G0,candidate_scan,Al_Sharpton,50,1,10,0.06000000,0.24000000,50,50,0,1,0,0,207228.46000000
G1,candidate_scan,Al_Sharpton,50,1,10,1.71000000,42.55000000,11,11,0,1,0,1,258.50000000
G2,candidate_scan,Al_Sharpton,50,1,10,146.10000000,147.50000000,11,11,0,1,0,1,74.58000000
G3,candidate_scan,Al_Sharpton,50,1,10,144.57000000,14.23000000,4,3,1,0,0,0,281.03000000
G0,candidate_scan,Al_Sharpton,50,2,39,0.09000000,0.24000000,50,50,0,1,0,0,209925.13000000
G1,candidate_scan,Al_Sharpton,50,2,39,1.73000000,155.93000000,40,40,0,1,0,1,256.52000000
G2,candidate_scan,Al_Sharpton,50,2,39,143.87000000,277.38000000,40,40,0,1,0,1,144.21000000
G3,candidate_scan,Al_Sharpton,50,2,39,145.69000000,14.19000000,4,3,1,0,0,0,281.81000000
G0,candidate_scan,Al_Sharpton,50,3,26,0.07000000,0.23000000,50,50,0,1,0,0,213125.20000000
G1,candidate_scan,Al_Sharpton,50,3,26,1.76000000,105.54000000,27,27,0,1,0,1,255.82000000
G2,candidate_scan,Al_Sharpton,50,3,26,145.96000000,216.49000000,27,27,0,1,0,1,124.71000000
G3,candidate_scan,Al_Sharpton,50,3,26,145.19000000,14.21000000,4,3,1,0,0,0,281.40000000
G0,candidate_scan,Al_Sharpton,50,4,10,0.07000000,0.24000000,50,50,0,1,0,0,207844.60000000
G1,candidate_scan,Al_Sharpton,50,4,10,1.84000000,42.38000000,11,11,0,1,0,1,259.54000000
G2,candidate_scan,Al_Sharpton,50,4,10,144.51000000,149.35000000,11,11,0,1,0,1,73.65000000
G3,candidate_scan,Al_Sharpton,50,4,10,147.18000000,14.47000000,4,3,1,0,0,0,276.47000000
G0,candidate_scan,Al_Sharpton,100,0,63,0.06000000,0.46000000,100,100,0,1,0,0,218112.53000000
G1,candidate_scan,Al_Sharpton,100,0,63,1.75000000,249.36000000,64,64,0,1,0,1,256.66000000
G2,candidate_scan,Al_Sharpton,100,0,63,147.08000000,372.05000000,64,64,0,1,0,1,172.02000000
G3,candidate_scan,Al_Sharpton,100,0,63,145.03000000,14.57000000,4,3,1,0,0,0,274.57000000
G0,candidate_scan,Al_Sharpton,100,1,59,0.06000000,0.47000000,100,100,0,1,0,0,210557.43000000
G1,candidate_scan,Al_Sharpton,100,1,59,1.78000000,235.44000000,60,60,0,1,0,1,254.85000000
G2,candidate_scan,Al_Sharpton,100,1,59,143.94000000,358.21000000,60,60,0,1,0,1,167.50000000
G3,candidate_scan,Al_Sharpton,100,1,59,146.57000000,15.29000000,4,3,1,0,0,0,261.60000000
G0,candidate_scan,Al_Sharpton,100,2,99,0.06000000,0.43000000,100,100,0,1,0,0,230077.02000000
G1,candidate_scan,Al_Sharpton,100,2,99,1.80000000,390.35000000,100,100,0,1,0,1,256.18000000
G2,candidate_scan,Al_Sharpton,100,2,99,144.44000000,535.25000000,100,100,0,1,0,1,186.83000000
