experiment,person,person_b,config,enroll_count,probe_path,probe_index,probe_bucket,in_balanced,in_extended,ok,byte_errors,theta_requested,theta_observed,seed
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0011.jpg,5,additional_probe,0,1,0,30,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0011.jpg,5,additional_probe,0,1,1,23,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0012.jpg,6,additional_probe,0,1,0,32,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0012.jpg,6,additional_probe,0,1,1,28,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0013.jpg,7,additional_probe,0,1,0,30,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0013.jpg,7,additional_probe,0,1,1,27,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0014.jpg,8,additional_probe,0,1,0,30,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0014.jpg,8,additional_probe,0,1,1,27,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0015.jpg,9,additional_probe,0,1,0,30,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0015.jpg,9,additional_probe,0,1,1,23,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0016.jpg,10,additional_probe,0,1,0,32,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0016.jpg,10,additional_probe,0,1,1,23,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0017.jpg,11,additional_probe,0,1,0,32,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0017.jpg,11,additional_probe,0,1,1,26,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0018.jpg,12,additional_probe,0,1,0,31,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0018.jpg,12,additional_probe,0,1,0,29,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0019.jpg,13,additional_probe,0,1,0,31,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0019.jpg,13,additional_probe,0,1,1,28,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0020.jpg,14,additional_probe,0,1,0,31,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0020.jpg,14,additional_probe,0,1,1,24,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0021.jpg,15,additional_probe,0,1,0,29,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0021.jpg,15,additional_probe,0,1,1,25,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0022.jpg,16,additional_probe,0,1,0,30,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0022.jpg,16,additional_probe,0,1,1,22,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0023.jpg,17,additional_probe,0,1,0,31,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0023.jpg,17,additional_probe,0,1,1,26,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0024.jpg,18,additional_probe,0,1,0,29,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0024.jpg,18,additional_probe,0,1,0,30,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0025.jpg,19,additional_probe,0,1,0,32,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0025.jpg,19,additional_probe,0,1,0,30,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0026.jpg,20,additional_probe,0,1,0,30,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0026.jpg,20,additional_probe,0,1,1,22,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0027.jpg,21,additional_probe,0,1,0,30,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0027.jpg,21,additional_probe,0,1,0,30,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0028.jpg,22,additional_probe,0,1,0,30,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0028.jpg,22,additional_probe,0,1,1,28,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0029.jpg,23,additional_probe,0,1,0,32,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0029.jpg,23,additional_probe,0,1,0,29,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0030.jpg,24,additional_probe,0,1,0,31,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0030.jpg,24,additional_probe,0,1,1,27,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0031.jpg,25,additional_probe,0,1,0,31,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0031.jpg,25,additional_probe,0,1,1,27,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0032.jpg,26,additional_probe,0,1,0,31,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0032.jpg,26,additional_probe,0,1,1,21,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0033.jpg,27,additional_probe,0,1,0,31,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0033.jpg,27,additional_probe,0,1,0,29,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0034.jpg,28,additional_probe,0,1,0,31,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0034.jpg,28,additional_probe,0,1,1,25,,,
vote_gain,Alvaro_Uribe,,single,1,Alvaro_Uribe/Alvaro_Uribe_0035.jpg,29,additional_probe,0,1,0,32,,,
vote_gain,Alvaro_Uribe,,vote5,5,Alvaro_Uribe/Alvaro_Uribe_0035.jpg,29,additional_probe,0,1,0,32,,,
vote_gain,Amelia_Vega,,single,1,Amelia_Vega/Amelia_Vega_0006.jpg,0,first_probe,1,1,0,30,,,
vote_gain,Amelia_Vega,,vote5,5,Amelia_Vega/Amelia_Vega_0006.jpg,0,first_probe,1,1,0,29,,,
vote_gain,Amelia_Vega,,single,1,Amelia_Vega/Amelia_Vega_0007.jpg,1,additional_probe,0,1,0,32,,,
vote_gain,Amelia_Vega,,vote5,5,Amelia_Vega/Amelia_Vega_0007.jpg,1,additional_probe,0,1,1,26,,,
vote_gain,Amelie_Mauresmo,,single,1,Amelie_Mauresmo/Amelie_Mauresmo_0006.jpg,0,first_probe,1,1,1,28,,,
vote_gain,Amelie_Mauresmo,,vote5,5,Amelie_Mauresmo/Amelie_Mauresmo_0006.jpg,0,first_probe,1,1,1,15,,,
vote_gain,Amelie_Mauresmo,,single,1,Amelie_Mauresmo/Amelie_Mauresmo_0007.jpg,1,additional_probe,0,1,1,28,,,
vote_gain,Amelie_Mauresmo,,vote5,5,Amelie_Mauresmo/Amelie_Mauresmo_0007.jpg,1,additional_probe,0,1,1,17,,,
vote_gain,Amelie_Mauresmo,,single,1,Amelie_Mauresmo/Amelie_Mauresmo_0008.jpg,2,additional_probe,0,1,1,28,,,
vote_gain,Amelie_Mauresmo,,vote5,5,Amelie_Mauresmo/Amelie_Mauresmo_0008.jpg,2,additional_probe,0,1,1,19,,,
