person,noise_type,intensity,ok,similarity,extract_failed
Al_Gore,blur,2.00000000,1,0.97424370,0
Al_Gore,blur,3.00000000,1,0.91583097,0
Al_Gore,blur,4.00000000,0,0.81935120,0
Al_Gore,blur,5.00000000,0,0.69929647,0
Al_Gore,occlusion,0.00000000,1,0.99961412,0
Al_Gore,occlusion,0.10000000,0,nan,1
Al_Gore,occlusion,0.15000000,0,nan,1
Al_Gore,occlusion,0.20000000,0,nan,1
Al_Gore,occlusion,0.25000000,0,nan,1
Al_Gore,occlusion,0.30000000,0,nan,1
Al_Sharpton,gaussian,0.00000000,1,1.00000000,0
Al_Sharpton,gaussian,0.02000000,1,0.98475611,0
Al_Sharpton,gaussian,0.05000000,1,0.94321561,0
Al_Sharpton,gaussian,0.10000000,1,0.83614981,0
Al_Sharpton,gaussian,0.20000000,0,nan,1
Al_Sharpton,gaussian,0.30000000,0,nan,1
Al_Sharpton,brightness,1.00000000,1,1.00000000,0
Al_Sharpton,brightness,0.90000000,1,0.99925548,0
Al_Sharpton,brightness,0.80000000,1,0.99775982,0
Al_Sharpton,brightness,0.65000000,1,0.99391216,0
Al_Sharpton,brightness,0.50000000,1,0.98897475,0
Al_Sharpton,brightness,0.35000000,1,0.97560966,0
Al_Sharpton,rotation,0.00000000,1,1.00000000,0
Al_Sharpton,rotation,3.00000000,1,0.99583411,0
Al_Sharpton,rotation,6.00000000,1,0.99361682,0
Al_Sharpton,rotation,10.00000000,1,0.98954678,0
Al_Sharpton,rotation,15.00000000,1,0.98572040,0
Al_Sharpton,rotation,20.00000000,1,0.98041636,0
Al_Sharpton,blur,0.00000000,1,0.99307632,0
Al_Sharpton,blur,1.00000000,1,0.99174249,0
Al_Sharpton,blur,2.00000000,1,0.95804822,0
Al_Sharpton,blur,3.00000000,1,0.88618219,0
Al_Sharpton,blur,4.00000000,1,0.78131545,0
Al_Sharpton,blur,5.00000000,1,0.69510704,0
Al_Sharpton,occlusion,0.00000000,1,0.99929571,0
Al_Sharpton,occlusion,0.10000000,0,0.33301610,0
Al_Sharpton,occlusion,0.15000000,0,nan,1
Al_Sharpton,occlusion,0.20000000,0,nan,1
Al_Sharpton,occlusion,0.25000000,0,nan,1
Al_Sharpton,occlusion,0.30000000,0,nan,1
Alan_Greenspan,gaussian,0.00000000,1,1.00000024,0
Alan_Greenspan,gaussian,0.02000000,1,0.98738080,0
Alan_Greenspan,gaussian,0.05000000,1,0.94561702,0
Alan_Greenspan,gaussian,0.10000000,1,0.86768776,0
Alan_Greenspan,gaussian,0.20000000,0,nan,1
Alan_Greenspan,gaussian,0.30000000,0,nan,1
Alan_Greenspan,brightness,1.00000000,1,1.00000024,0
Alan_Greenspan,brightness,0.90000000,1,0.99934328,0
Alan_Greenspan,brightness,0.80000000,1,0.99818826,0
Alan_Greenspan,brightness,0.65000000,1,0.99360442,0
Alan_Greenspan,brightness,0.50000000,1,0.98743689,0
Alan_Greenspan,brightness,0.35000000,1,0.97713542,0
Alan_Greenspan,rotation,0.00000000,1,1.00000024,0
Alan_Greenspan,rotation,3.00000000,1,0.99479353,0
Alan_Greenspan,rotation,6.00000000,1,0.99462438,0
Alan_Greenspan,rotation,10.00000000,1,0.99160683,0
Alan_Greenspan,rotation,15.00000000,1,0.98982966,0
Alan_Greenspan,rotation,20.00000000,1,0.98602819,0
Alan_Greenspan,blur,0.00000000,1,0.98442924,0
Alan_Greenspan,blur,1.00000000,1,0.98180705,0
Alan_Greenspan,blur,2.00000000,1,0.92195344,0
Alan_Greenspan,blur,3.00000000,1,0.80436277,0
Alan_Greenspan,blur,4.00000000,0,0.64891851,0
Alan_Greenspan,blur,5.00000000,0,0.57772428,0
Alan_Greenspan,occlusion,0.00000000,1,0.99972272,0
Alan_Greenspan,occlusion,0.10000000,0,-0.03979158,0
Alan_Greenspan,occlusion,0.15000000,0,nan,1
Alan_Greenspan,occlusion,0.20000000,0,nan,1
Alan_Greenspan,occlusion,0.25000000,0,nan,1
Alan_Greenspan,occlusion,0.30000000,0,nan,1
Alastair_Campbell,gaussian,0.00000000,1,1.00000000,0
Alastair_Campbell,gaussian,0.02000000,1,0.98866826,0
Alastair_Campbell,gaussian,0.05000000,1,0.92052937,0
Alastair_Campbell,gaussian,0.10000000,1,0.86727637,0
Alastair_Campbell,gaussian,0.20000000,0,nan,1
Alastair_Campbell,gaussian,0.30000000,0,nan,1
Alastair_Campbell,brightness,1.00000000,1,1.00000000,0
Alastair_Campbell,brightness,0.90000000,1,0.99920964,0
Alastair_Campbell,brightness,0.80000000,1,0.99803329,0
Alastair_Campbell,brightness,0.65000000,1,0.99430811,0
Alastair_Campbell,brightness,0.50000000,1,0.98822993,0
Alastair_Campbell,brightness,0.35000000,1,0.97910178,0
Alastair_Campbell,rotation,0.00000000,1,1.00000000,0
Alastair_Campbell,rotation,3.00000000,1,0.99706382,0
Alastair_Campbell,rotation,6.00000000,1,0.99741322,0
Alastair_Campbell,rotation,10.00000000,1,0.99563259,0
Alastair_Campbell,rotation,15.00000000,1,0.99362665,0
Alastair_Campbell,rotation,20.00000000,1,0.98795223,0
Alastair_Campbell,blur,0.00000000,1,0.99479097,0
Alastair_Campbell,blur,1.00000000,1,0.99390739,0
Alastair_Campbell,blur,2.00000000,1,0.96059030,0
Alastair_Campbell,blur,3.00000000,1,0.88822293,0
Alastair_Campbell,blur,4.00000000,1,0.77524984,0
Alastair_Campbell,blur,5.00000000,1,0.66383648,0
Alastair_Campbell,occlusion,0.00000000,1,0.99918264,0
Alastair_Campbell,occlusion,0.10000000,0,nan,1
Alastair_Campbell,occlusion,0.15000000,0,nan,1
Alastair_Campbell,occlusion,0.20000000,0,nan,1
Alastair_Campbell,occlusion,0.25000000,0,nan,1
Alastair_Campbell,occlusion,0.30000000,0,nan,1
Albert_Costa,gaussian,0.00000000,1,0.99999994,0
Albert_Costa,gaussian,0.02000000,1,0.99100381,0
Albert_Costa,gaussian,0.05000000,1,0.95499873,0
Albert_Costa,gaussian,0.10000000,1,0.86721110,0
Albert_Costa,gaussian,0.20000000,0,nan,1
Albert_Costa,gaussian,0.30000000,0,nan,1
Albert_Costa,brightness,1.00000000,1,0.99999994,0
Albert_Costa,brightness,0.90000000,1,0.99939048,0
Albert_Costa,brightness,0.80000000,1,0.99825412,0
Albert_Costa,brightness,0.65000000,1,0.99451017,0
Albert_Costa,brightness,0.50000000,1,0.98599756,0
Albert_Costa,brightness,0.35000000,1,0.96888912,0
Albert_Costa,rotation,0.00000000,1,0.99999994,0
Albert_Costa,rotation,3.00000000,1,0.99748367,0
Albert_Costa,rotation,6.00000000,1,0.99690235,0
Albert_Costa,rotation,10.00000000,1,0.99538922,0
Albert_Costa,rotation,15.00000000,1,0.99321949,0
Albert_Costa,rotation,20.00000000,1,0.98849738,0
Albert_Costa,blur,0.00000000,1,0.99638259,0
Albert_Costa,blur,1.00000000,1,0.99545753,0
Albert_Costa,blur,2.00000000,1,0.97132790,0
Albert_Costa,blur,3.00000000,1,0.91651452,0
Albert_Costa,blur,4.00000000,1,0.82508057,0
Albert_Costa,blur,5.00000000,1,0.71235949,0
Albert_Costa,occlusion,0.00000000,1,0.99860114,0
Albert_Costa,occlusion,0.10000000,0,0.40670332,0
Albert_Costa,occlusion,0.15000000,0,nan,1
Albert_Costa,occlusion,0.20000000,0,nan,1
Albert_Costa,occlusion,0.25000000,0,nan,1
Albert_Costa,occlusion,0.30000000,0,nan,1
Alejandro_Toledo,gaussian,0.00000000,1,1.00000000,0
Alejandro_Toledo,gaussian,0.02000000,1,0.98524350,0
Alejandro_Toledo,gaussian,0.05000000,1,0.92777336,0
Alejandro_Toledo,gaussian,0.10000000,1,0.80184937,0
Alejandro_Toledo,gaussian,0.20000000,0,nan,1
Alejandro_Toledo,gaussian,0.30000000,0,nan,1
Alejandro_Toledo,brightness,1.00000000,1,1.00000000,0
Alejandro_Toledo,brightness,0.90000000,1,0.99932700,0
Alejandro_Toledo,brightness,0.80000000,1,0.99798405,0
Alejandro_Toledo,brightness,0.65000000,1,0.99355561,0
Alejandro_Toledo,brightness,0.50000000,1,0.98944902,0
Alejandro_Toledo,brightness,0.35000000,1,0.97858030,0
Alejandro_Toledo,rotation,0.00000000,1,1.00000000,0
Alejandro_Toledo,rotation,3.00000000,1,0.99736339,0
Alejandro_Toledo,rotation,6.00000000,1,0.99553412,0
Alejandro_Toledo,rotation,10.00000000,1,0.99602193,0
Alejandro_Toledo,rotation,15.00000000,1,0.99490941,0
Alejandro_Toledo,rotation,20.00000000,1,0.98786020,0
Alejandro_Toledo,blur,0.00000000,1,0.99467611,0
Alejandro_Toledo,blur,1.00000000,1,0.99373174,0
Alejandro_Toledo,blur,2.00000000,1,0.94609821,0
Alejandro_Toledo,blur,3.00000000,1,0.82503694,0
Alejandro_Toledo,blur,4.00000000,1,0.61884165,0
Alejandro_Toledo,blur,5.00000000,1,0.50920671,0
Alejandro_Toledo,occlusion,0.00000000,1,0.99741143,0
Alejandro_Toledo,occlusion,0.10000000,0,0.46972510,0
